"Table with row headers in column A and column headers for both sexes in rows 5 through 6, for male in rows 37 through 38, and for females in rows 69 through 70.",,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 15 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2005",,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,

"All Races
and Both Sexes",Educational Attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,Some college no degree,"Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
15 years and over,"230,437",985,"2,156","4,017","7,994","8,649","9,686","13,483","69,446","41,727","9,477","8,072","36,520","12,928","2,946","2,352"
15 to 17 years,"13,061",4,15,37,"2,385","4,029","3,955","2,405",169,56,2,-,3,1,-,-
18 to 19 years,"7,601",9,19,49,100,182,445,"2,433","2,155","2,150",33,10,15,-,2,-
20 to 24 years,"20,408",26,87,225,280,509,553,"1,209","6,229","7,711",637,600,"2,243",86,10,5
25 to 29 years,"19,501",71,115,366,322,432,444,949,"5,715","3,805",864,796,"4,401",916,224,80
30 to 34 years,"19,809",64,164,380,308,467,340,790,"5,554","3,551",999,849,"4,433","1,447",285,178
35 to 39 years,"20,651",84,147,400,306,370,365,775,"6,376","3,456","1,094",865,"4,298","1,462",381,273
40 to 44 years,"22,699",66,182,374,364,345,451,802,"7,367","3,832","1,290","1,066","4,441","1,510",371,238
45 to 49 years,"22,235",81,166,342,298,366,452,745,"7,282","3,930","1,212","1,029","4,147","1,512",382,289
50 to 54 years,"19,726",78,150,323,351,273,350,596,"6,207","3,439",996,919,"3,668","1,764",320,292
55 to 59 years,"16,771",93,172,253,377,254,427,479,"5,167","2,971",820,715,"2,860","1,546",304,335
60 to 64 years,"12,765",55,142,232,389,264,357,539,"4,431","2,021",481,474,"1,964",987,175,252
65 to 69 years,"10,130",68,188,271,452,278,402,467,"3,773","1,485",317,298,"1,244",610,149,130
70 to 74 years,"8,260",79,185,199,505,234,363,410,"3,071","1,134",268,162,"1,032",383,104,128
75 years and over,"16,820",207,425,567,"1,558",646,782,882,"5,950","2,185",464,287,"1,771",704,239,153
15 to 17 years,"13,061",4,15,37,"2,385","4,029","3,955","2,405",169,56,2,-,3,1,-,-
18 years and over,"217,375",981,"2,142","3,980","5,608","4,620","5,731","11,078","69,277","41,670","9,475","8,072","36,517","12,926","2,946","2,352"
15 to 24 years,"41,070",39,121,311,"2,765","4,720","4,953","6,047","8,553","9,918",672,609,"2,260",88,11,5
25 years and over,"189,367",947,"2,036","3,706","5,229","3,929","4,734","7,436","60,893","31,809","8,805","7,462","34,260","12,840","2,934","2,347"
15 to 64 years,"195,227",631,"1,358","2,980","5,478","7,491","8,139","11,723","56,653","36,923","8,428","7,325","32,473","11,231","2,453","1,941"
65 years and over,"35,209",354,798,"1,037","2,515","1,158","1,547","1,759","12,793","4,804","1,049",747,"4,047","1,697",492,411
Footnotes:,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
/2 12th grade no diploma are included in this category.,,,,,,,,,,,,,,,,

"Source:  U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,
Internet Release Date: October 26, 2006,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 15 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2005",,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,

"All Races
and Male",Educational Attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,Some college no degree,"Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
15 years and over,"111,694",443,"1,155","2,113","4,051","4,368","4,800","6,766","33,844","19,471","4,222","3,254","17,559","6,154","1,904","1,592"
15 to 17 years,"6,728",4,6,24,"1,321","2,039","2,059","1,160",90,23,-,-,1,-,-,-
18 to 19 years,"3,775",6,11,41,69,88,269,"1,297","1,055",916,13,5,3,-,2,-
20 to 24 years,"10,292",17,49,142,165,304,255,675,"3,547","3,657",292,247,913,22,3,5
25 to 29 years,"9,826",49,74,204,181,221,213,534,"3,212","1,851",415,366,"1,993",358,123,31
30 to 34 years,"9,851",29,88,209,174,253,172,434,"3,003","1,731",455,380,"2,052",612,156,101
35 to 39 years,"10,265",49,92,210,172,196,199,439,"3,401","1,625",505,333,"2,030",652,215,147
40 to 44 years,"11,204",31,105,202,217,190,220,446,"3,887","1,726",579,423,"2,087",740,210,140
45 to 49 years,"10,935",46,105,173,145,189,243,405,"3,737","1,872",570,340,"1,915",745,255,196
50 to 54 years,"9,620",25,94,172,185,125,162,249,"2,993","1,627",431,396,"1,908",844,221,187
55 to 59 years,"8,009",51,83,131,185,131,210,221,"2,256","1,405",371,294,"1,466",742,209,252
60 to 64 years,"6,042",26,87,140,177,137,156,236,"1,871",911,201,198,"1,049",531,132,189
65 to 69 years,"4,815",16,96,123,227,144,193,204,"1,593",722,128,124,672,359,109,106
70 to 74 years,"3,651",18,90,102,234,105,144,146,"1,136",526,111,72,563,216,82,105
75 years and over,"6,681",77,174,239,598,244,304,319,"2,062",877,149,77,905,332,187,136
15 to 17 years,"6,728",4,6,24,"1,321","2,039","2,059","1,160",90,23,-,-,1,-,-,-
18 years and over,"104,966",439,"1,149","2,089","2,730","2,329","2,741","5,606","33,754","19,448","4,222","3,254","17,558","6,154","1,904","1,592"
15 to 24 years,"20,795",27,66,207,"1,555","2,431","2,584","3,132","4,692","4,596",305,252,918,22,5,5
25 years and over,"90,899",416,"1,089","1,906","2,496","1,937","2,216","3,634","29,151","14,875","3,917","3,002","16,641","6,132","1,899","1,587"
15 to 64 years,"96,548",332,795,"1,649","2,992","3,874","4,158","6,097","29,053","17,345","3,833","2,982","15,419","5,246","1,527","1,246"
65 years and over,"15,147",111,361,464,"1,059",494,641,669,"4,791","2,126",389,272,"2,140",907,377,346
Footnotes:,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
/2 12th grade no diploma are included in this category.,,,,,,,,,,,,,,,,

"Source:  U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,
Internet Release Date: October 26, 2006,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 15 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2005",,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,

"All Races
and Female",Educational Attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,Some college no degree,"Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
15 years and over,"118,742",543,"1,001","1,904","3,943","4,281","4,886","6,717","35,602","22,256","5,256","4,818","18,961","6,774","1,041",760
15 to 17 years,"6,333",-,9,12,"1,064","1,990","1,896","1,245",79,33,2,-,2,1,-,-
18 to 19 years,"3,826",3,8,8,31,95,176,"1,136","1,100","1,234",20,4,11,-,-,-
20 to 24 years,"10,115",9,38,84,115,204,297,534,"2,681","4,054",345,353,"1,329",64,6,-
25 to 29 years,"9,676",22,41,162,141,210,232,416,"2,503","1,954",449,430,"2,408",558,101,49
30 to 34 years,"9,958",35,76,171,133,214,168,355,"2,551","1,820",545,470,"2,381",835,129,78
35 to 39 years,"10,387",36,55,190,134,174,166,337,"2,975","1,830",589,533,"2,268",810,165,126
40 to 44 years,"11,495",35,76,172,147,155,232,356,"3,480","2,106",711,643,"2,354",769,161,99
45 to 49 years,"11,299",35,61,169,153,178,210,340,"3,546","2,058",641,690,"2,232",768,127,93
50 to 54 years,"10,106",53,55,151,165,148,187,348,"3,214","1,812",565,523,"1,760",920,99,105
55 to 59 years,"8,762",42,89,121,191,122,217,258,"2,911","1,565",449,421,"1,393",804,95,83
60 to 64 years,"6,722",29,55,92,212,127,201,303,"2,560","1,110",280,276,915,455,43,63
65 to 69 years,"5,315",52,92,148,225,133,208,262,"2,180",763,189,174,572,251,40,25
70 to 74 years,"4,609",61,95,97,271,129,220,264,"1,934",608,157,91,469,167,23,23
75 years and over,"10,139",130,251,327,960,402,478,564,"3,888","1,307",314,210,866,372,52,17
15 to 17 years,"6,333",-,9,12,"1,064","1,990","1,896","1,245",79,33,2,-,2,1,-,-
18 years and over,"112,409",542,992,"1,892","2,879","2,291","2,990","5,472","35,523","22,222","5,254","4,818","18,959","6,773","1,041",760
15 to 24 years,"20,275",12,55,104,"1,210","2,289","2,369","2,915","3,860","5,322",367,357,"1,342",66,6,-
25 years and over,"98,467",530,947,"1,800","2,733","1,992","2,517","3,802","31,742","16,934","4,888","4,461","17,619","6,709","1,035",760
15 to 64 years,"98,679",299,564,"1,332","2,486","3,616","3,981","5,627","27,600","19,577","4,595","4,343","17,054","5,985",926,695
65 years and over,"20,063",244,438,572,"1,456",664,906,"1,090","8,002","2,678",661,475,"1,907",790,115,65
Footnotes:,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
/2 12th grade no diploma are included in this category.

"Source:  U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement"
Internet Release Date: October 26, 2006
