Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Detailed Years of School Completed by People 25 Years and Over by Sex, Age Groups, Race and Hispanic Origin: 2014",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Detailed Years of School,ALL RACES,,MALES,,FEMALES,,25 TO 34  YEARS OLD,,35 TO 54  YEARS OLD,,55 YEARS OLD AND OVER,,WHITE,,NON-HISPANIC WHITE,,BLACK,,ASIAN,,"HISPANIC
(OF ANY RACE)",,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,
," 209,287 ",100," 100,592 ",100," 108,695 ",100," 42,466 ",100," 82,687 ",100," 84,134 ",100," 166,962 ",100," 140,124 ",100," 24,864 ",100," 11,801 ",100," 29,919 ",100,
,,,,,,,,,,,,,,,,,,,,,,,
"Elementary or High school, no diploma",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year, no diploma", 826 ,0.4,370,0.4,456,0.4,104,0.3,297,0.4,424,0.5, 551 ,0.3, 173 ,0.1, 87 ,0.4, 162 ,1.4,419,1.4,
"1st-4th grade, no diploma"," 1,699 ",0.8,814,0.8,885,0.8,182,0.4,577,0.7,941,1.1," 1,357 ",0.8, 277 ,0.2, 140 ,0.6, 156 ,1.3," 1,139 ",3.8,
"5th-6th grade, no diploma"," 3,217 ",1.5,"1,634",1.6,"1,583",1.5,481,1.1,"1,386",1.7,"1,350",1.6," 2,640 ",1.6, 398 ,0.3, 259 ,1.0, 198 ,1.7," 2,416 ",8.1,
"7th-8th grade, no diploma"," 4,171 ",2.0,"2,128",2.1,"2,043",1.9,466,1.1,"1,226",1.5,"2,479",3.0," 3,363 ",2.0," 1,967 ",1.4, 459 ,1.9, 197 ,1.7," 1,552 ",5.2,
"9th grade, no diploma"," 3,460 ",1.7,"1,688",1.7,"1,772",1.6,718,1.7,"1,362",1.7,"1,381",1.6," 2,816 ",1.7," 1,334 ",1.0, 396 ,1.6, 117 ,1.0," 1,637 ",5.5,
"10th grade, no diploma"," 4,112 ",2.0,"2,061",2.1,"2,051",1.9,740,1.7,"1,410",1.7,"1,962",2.3," 3,083 ",1.9," 2,205 ",1.6, 657 ,2.6, 153 ,1.3," 1,004 ",3.4,
"11th grade, no diploma"," 4,306 ",2.1,"2,256",2.2,"2,050",1.9,953,2.2,"1,558",1.9,"1,795",2.1," 2,969 ",1.8," 2,095 ",1.5," 1,036 ",4.2, 107 ,0.9," 1,011 ",3.4,
"12th grade, no diploma"," 2,667 ",1.3,"1,398",1.4,"1,270",1.2,608,1.4,"1,102",1.3,956,1.1," 1,945 ",1.2," 1,176 ",0.8, 495 ,2.0, 146 ,1.2, 838 ,2.8,
,,,,,,,,,,,,,,,,,,,,,,,
"Elementary or High school, GED",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year, GED",16,-,1,-,15,-,4,-,5,-,8,-, 14 ,-, 11 ,-,-,-,-,-, 4 ,-,
